time,timestamp,longitude,latitude,z,sea_surface_height_above_sea_level
2022-03-01T23:04:26Z,1646193866085.00,,,0,402
2022-03-01T22:44:26Z,1646192666031.00,,,0,402
2022-03-01T22:24:26Z,1646191466004.00,,,0,402
2022-03-01T22:04:25Z,1646190265997.00,,,0,402
2022-03-01T21:44:25Z,1646189065514.00,,,0,402
2022-03-01T21:24:26Z,1646187866001.00,,,0,402
2022-03-01T21:04:25Z,1646186665999.00,,,0,402
2022-03-01T20:44:26Z,1646185466041.00,,,0,402
2022-03-01T20:24:26Z,1646184266000.00,,,0,402
2022-03-01T20:04:25Z,1646183065998.00,,,0,401
2022-03-01T19:44:26Z,1646181866009.00,,,0,401
2022-03-01T19:24:25Z,1646180665999.00,,,0,401
2022-03-01T19:04:26Z,1646179466008.00,,,0,402
2022-03-01T18:44:25Z,1646178265312.00,,,0,402
2022-03-01T18:24:26Z,1646177066019.00,,,0,402
2022-03-01T18:04:26Z,1646175866036.00,,,0,403
2022-03-01T17:44:26Z,1646174666030.00,,,0,402
2022-03-01T17:24:26Z,1646173466060.00,,,0,402
2022-03-01T17:04:26Z,1646172266049.00,,,0,402
2022-03-01T16:44:26Z,1646171066064.00,,,0,402
2022-03-01T16:24:25Z,1646169865359.00,,,0,402
2022-03-01T16:04:26Z,1646168666093.00,,,0,402
2022-03-01T15:44:25Z,1646167465379.00,,,0,401
2022-03-01T15:24:26Z,1646166266104.00,,,0,401
2022-03-01T15:04:26Z,1646165066164.00,,,0,402
2022-03-01T14:44:26Z,1646163866133.00,,,0,399
2022-03-01T14:24:25Z,1646162665677.00,,,0,401
2022-03-01T14:04:26Z,1646161466172.00,,,0,398
2022-03-01T13:44:25Z,1646160265711.00,,,0,401
2022-03-01T13:24:26Z,1646159066188.00,,,0,427
2022-03-01T13:04:26Z,1646157866231.00,,,0,418
2022-03-01T12:44:26Z,1646156666212.00,,,0,419
2022-03-01T12:24:26Z,1646155466227.00,,,0,406
2022-03-01T12:04:26Z,1646154266228.00,,,0,397
2022-03-01T11:44:26Z,1646153066249.00,,,0,397
2022-03-01T11:24:26Z,1646151866297.00,,,0,397
2022-03-01T11:04:26Z,1646150666260.00,,,0,393
2022-03-01T10:44:26Z,1646149466272.00,,,0,395
2022-03-01T10:24:26Z,1646148266289.00,,,0,394
2022-03-01T10:04:26Z,1646147066278.00,,,0,393
2022-03-01T09:44:25Z,1646145865812.00,,,0,393
2022-03-01T09:24:26Z,1646144666313.00,,,0,392
2022-03-01T09:04:26Z,1646143466283.00,,,0,392
2022-03-01T08:44:26Z,1646142266284.00,,,0,391
2022-03-01T08:24:25Z,1646141065809.00,,,0,391
2022-03-01T08:04:26Z,1646139866277.00,,,0,391
2022-03-01T07:44:26Z,1646138666270.00,,,0,391
2022-03-01T07:24:26Z,1646137466254.00,,,0,390
2022-03-01T07:04:26Z,1646136266274.00,,,0,390
2022-03-01T06:44:26Z,1646135066238.00,,,0,390
2022-03-01T06:24:25Z,1646133865760.00,,,0,391
2022-03-01T06:04:25Z,1646132665502.00,,,0,390
2022-03-01T05:44:26Z,1646131466198.00,,,0,390
2022-03-01T05:24:26Z,1646130266195.00,,,0,390
2022-03-01T05:04:25Z,1646129065712.00,,,0,390
2022-03-01T04:44:26Z,1646127866186.00,,,0,390
2022-03-01T04:24:26Z,1646126666166.00,,,0,390
2022-03-01T04:04:25Z,1646125465436.00,,,0,390
2022-03-01T03:44:25Z,1646124265681.00,,,0,390
2022-03-01T03:24:26Z,1646123066125.00,,,0,390
2022-03-01T03:04:26Z,1646121866117.00,,,0,390
2022-03-01T02:44:25Z,1646120665418.00,,,0,390
2022-03-01T02:24:26Z,1646119466102.00,,,0,390
2022-03-01T02:04:26Z,1646118266092.00,,,0,390
2022-03-01T01:44:26Z,1646117066103.00,,,0,390
2022-03-01T01:24:25Z,1646115865374.00,,,0,390
2022-03-01T01:04:26Z,1646114666065.00,,,0,390
2022-03-01T00:44:26Z,1646113466051.00,,,0,390
2022-03-01T00:24:26Z,1646112266054.00,,,0,390
2022-03-01T00:04:26Z,1646111066038.00,,,0,390
2022-02-28T23:44:25Z,1646109865330.00,,,0,390
2022-02-28T23:24:26Z,1646108666034.00,,,0,390
2022-02-28T23:04:26Z,1646107466032.00,,,0,390
2022-02-28T22:44:26Z,1646106266015.00,,,0,390
2022-02-28T22:24:26Z,1646105066019.00,,,0,388
2022-02-28T22:04:25Z,1646103865999.00,,,0,390
2022-02-28T21:44:25Z,1646102665987.00,,,0,390
2022-02-28T21:24:25Z,1646101465974.00,,,0,390
2022-02-28T21:04:25Z,1646100265983.00,,,0,390
2022-02-28T20:44:25Z,1646099065969.00,,,0,389
2022-02-28T20:24:25Z,1646097865959.00,,,0,390
2022-02-28T20:04:25Z,1646096665961.00,,,0,387
2022-02-28T19:44:25Z,1646095465252.00,,,0,386
2022-02-28T19:24:25Z,1646094265944.00,,,0,386
2022-02-28T19:04:25Z,1646093065941.00,,,0,386
2022-02-28T18:44:25Z,1646091865471.00,,,0,386
2022-02-28T18:24:25Z,1646090665461.00,,,0,386
2022-02-28T18:04:25Z,1646089465463.00,,,0,389
2022-02-28T17:44:25Z,1646088265950.00,,,0,389
2022-02-28T17:24:25Z,1646087065915.00,,,0,387
2022-02-28T17:04:25Z,1646085865914.00,,,0,389
2022-02-28T16:44:25Z,1646084665919.00,,,0,387
2022-02-28T16:24:25Z,1646083465921.00,,,0,387
2022-02-28T16:04:25Z,1646082265203.00,,,0,388
2022-02-28T15:44:25Z,1646081065922.00,,,0,389
2022-02-28T15:24:25Z,1646079865472.00,,,0,389
2022-02-28T15:04:25Z,1646078665918.00,,,0,389
2022-02-28T14:44:25Z,1646077465457.00,,,0,388
2022-02-28T14:24:25Z,1646076265914.00,,,0,390
2022-02-28T14:04:25Z,1646075065921.00,,,0,391
2022-02-28T13:44:25Z,1646073865927.00,,,0,392
2022-02-28T13:24:25Z,1646072665480.00,,,0,392
2022-02-28T13:04:25Z,1646071465939.00,,,0,392
2022-02-28T12:44:25Z,1646070265473.00,,,0,392
2022-02-28T12:24:25Z,1646069065974.00,,,0,392
2022-02-28T12:04:25Z,1646067865504.00,,,0,392
2022-02-28T11:44:25Z,1646066665945.00,,,0,392
2022-02-28T11:24:25Z,1646065465487.00,,,0,392
2022-02-28T11:04:25Z,1646064265968.00,,,0,393
2022-02-28T10:44:25Z,1646063065964.00,,,0,393
2022-02-28T10:24:25Z,1646061865274.00,,,0,394
2022-02-28T10:04:25Z,1646060665965.00,,,0,394
2022-02-28T09:44:25Z,1646059465290.00,,,0,393
2022-02-28T09:24:25Z,1646058265960.00,,,0,392
2022-02-28T09:04:25Z,1646057065948.00,,,0,392
2022-02-28T08:44:25Z,1646055865946.00,,,0,392
2022-02-28T08:24:25Z,1646054665961.00,,,0,392
2022-02-28T08:04:25Z,1646053465952.00,,,0,392
2022-02-28T07:44:25Z,1646052265920.00,,,0,391
2022-02-28T07:24:25Z,1646051065908.00,,,0,391
2022-02-28T07:04:25Z,1646049865422.00,,,0,390
2022-02-28T06:44:25Z,1646048665411.00,,,0,390
2022-02-28T06:24:25Z,1646047465407.00,,,0,390
2022-02-28T06:04:25Z,1646046265846.00,,,0,390
2022-02-28T05:44:25Z,1646045065849.00,,,0,390
2022-02-28T05:24:25Z,1646043865362.00,,,0,390
2022-02-28T05:04:25Z,1646042665821.00,,,0,390
2022-02-28T04:44:25Z,1646041465338.00,,,0,390
2022-02-28T04:24:25Z,1646040265801.00,,,0,390
2022-02-28T04:04:25Z,1646039065057.00,,,0,390
2022-02-28T03:44:25Z,1646037865771.00,,,0,390
2022-02-28T03:24:25Z,1646036665746.00,,,0,390
2022-02-28T03:04:25Z,1646035465731.00,,,0,390
2022-02-28T02:44:25Z,1646034265721.00,,,0,390
2022-02-28T02:24:25Z,1646033065703.00,,,0,390
2022-02-28T02:04:25Z,1646031865694.00,,,0,390
2022-02-28T01:44:25Z,1646030665225.00,,,0,390
2022-02-28T01:24:24Z,1646029464962.00,,,0,390
2022-02-28T01:04:25Z,1646028265661.00,,,0,390
2022-02-28T00:44:25Z,1646027065674.00,,,0,390
2022-02-28T00:24:24Z,1646025864923.00,,,0,390
2022-02-28T00:04:25Z,1646024665649.00,,,0,391
2022-02-27T23:44:24Z,1646023464919.00,,,0,391
2022-02-27T23:24:25Z,1646022265624.00,,,0,391
2022-02-27T23:04:24Z,1646021064916.00,,,0,391
2022-02-27T22:44:25Z,1646019865616.00,,,0,390
2022-02-27T22:24:24Z,1646018664895.00,,,0,390
2022-02-27T22:04:25Z,1646017465129.00,,,0,391
2022-02-27T21:44:25Z,1646016265612.00,,,0,391
2022-02-27T21:24:25Z,1646015065587.00,,,0,391
2022-02-27T21:04:25Z,1646013865577.00,,,0,390
2022-02-27T20:44:25Z,1646012665571.00,,,0,390
2022-02-27T20:24:25Z,1646011465577.00,,,0,389
2022-02-27T20:04:25Z,1646010265116.00,,,0,389
2022-02-27T19:44:25Z,1646009065570.00,,,0,389
2022-02-27T19:24:25Z,1646007865566.00,,,0,389
2022-02-27T19:04:25Z,1646006665575.00,,,0,389
2022-02-27T18:44:25Z,1646005465562.00,,,0,390
2022-02-27T18:24:25Z,1646004265559.00,,,0,390
2022-02-27T18:04:25Z,1646003065566.00,,,0,391
2022-02-27T17:44:25Z,1646001865097.00,,,0,391
2022-02-27T17:24:25Z,1646000665567.00,,,0,391
2022-02-27T17:04:25Z,1645999465568.00,,,0,391
2022-02-27T16:44:25Z,1645998265566.00,,,0,391
2022-02-27T16:24:25Z,1645997065112.00,,,0,391
2022-02-27T16:04:25Z,1645995865116.00,,,0,391
2022-02-27T15:44:25Z,1645994665111.00,,,0,391
2022-02-27T15:24:25Z,1645993465591.00,,,0,391
2022-02-27T15:04:25Z,1645992265146.00,,,0,392
2022-02-27T14:44:25Z,1645991065604.00,,,0,392
2022-02-27T14:24:25Z,1645989865594.00,,,0,391
2022-02-27T14:04:24Z,1645988664896.00,,,0,392
2022-02-27T13:44:25Z,1645987465624.00,,,0,392
2022-02-27T13:24:25Z,1645986265627.00,,,0,391
2022-02-27T13:04:25Z,1645985065166.00,,,0,392
2022-02-27T12:44:24Z,1645983864928.00,,,0,392
2022-02-27T12:24:25Z,1645982665636.00,,,0,392
2022-02-27T12:04:25Z,1645981465646.00,,,0,391
2022-02-27T11:44:25Z,1645980265648.00,,,0,390
2022-02-27T11:24:25Z,1645979065652.00,,,0,391
2022-02-27T11:04:25Z,1645977865191.00,,,0,390
2022-02-27T10:44:25Z,1645976665193.00,,,0,389
